date,exit_date,symbol,side,entry,exit,stop,size,fees
2026-07-06T09:38:00,2026-07-06T09:54:00,SPY,long,628.26,642.93,619,10,1.00
2026-07-07T10:00:00,2026-07-07T10:47:00,META,long,754.6,784.84,743.36,5,1.00
2026-07-07T11:12:00,2026-07-07T11:45:00,AMD,long,161.79,161.16,160.72,60,
2026-07-08T10:08:00,2026-07-08T10:44:00,QQQ,long,577.1,571.48,571.04,15,
2026-07-08T11:21:00,2026-07-08T11:29:00,AMD,long,160.16,158.78,158.76,55,
2026-07-08T12:47:00,2026-07-08T13:31:00,MSFT,short,506.66,494.7,511.41,20,1.00
2026-07-09T09:39:00,2026-07-09T10:01:00,AMZN,short,224.08,225.66,225.69,30,1.35
2026-07-09T11:54:00,2026-07-09T12:02:00,QQQ,long,574.64,591.96,566.5,10,1.00
2026-07-09T14:44:00,2026-07-09T14:53:00,MSFT,long,503.5,497.46,496.72,10,1.00
2026-07-10T10:08:00,2026-07-10T10:14:00,AMZN,short,223.91,226.27,227.14,20,1.00
2026-07-10T10:19:00,2026-07-10T11:08:00,AMZN,short,221.89,224.59,224.12,45,
2026-07-13T09:53:00,2026-07-13T10:22:00,TSLA,long,310.5,307.78,307.34,25,1.35
2026-07-13T11:13:00,2026-07-13T11:39:00,AMZN,short,224.37,225.64,226.84,35,1.35
2026-07-14T10:07:00,2026-07-14T10:37:00,TSLA,long,311.49,317.23,307.23,25,1.35
2026-07-14T10:57:00,2026-07-14T11:30:00,SPY,long,643.64,638.08,636.52,10,
2026-07-14T13:48:00,2026-07-14T14:28:00,QQQ,short,568.74,577.39,576.62,15,
2026-07-15T09:44:00,2026-07-15T10:25:00,QQQ,long,567.7,576.85,561.05,15,
2026-07-15T11:30:00,2026-07-15T11:54:00,SPY,long,632.45,640.99,625.11,10,1.00
2026-07-16T09:58:00,2026-07-16T10:25:00,MSFT,short,508.14,515.19,514.99,10,1.00
2026-07-16T11:24:00,2026-07-16T12:08:00,NVDA,long,177.96,181.43,175.75,25,1.35
2026-07-16T12:52:00,2026-07-16T13:14:00,QQQ,long,570.18,566.13,565.2,10,1.00
2026-07-17T10:10:00,2026-07-17T10:37:00,NVDA,long,172.85,171.6,170.38,40,1.35
2026-07-17T11:52:00,2026-07-17T12:00:00,AMZN,long,224.64,222.68,221.21,35,
2026-07-17T12:02:00,2026-07-17T12:41:00,AMZN,long,226.39,224.13,224.76,85,1.70
2026-07-17T14:44:00,2026-07-17T15:27:00,META,short,754.78,735.46,764,10,1.00
2026-07-20T10:05:00,2026-07-20T10:27:00,AMD,short,160.32,158.01,161.53,35,1.35
2026-07-20T11:10:00,2026-07-20T11:24:00,META,short,751.36,741.85,763.23,5,1.00
2026-07-20T13:00:00,2026-07-20T13:50:00,NVDA,long,176.65,179.35,174.95,50,1.35
2026-07-21T10:13:00,2026-07-21T10:24:00,QQQ,long,562.12,573.03,553.57,15,1.00
2026-07-22T10:06:00,2026-07-22T10:32:00,MSFT,short,500.5,502.89,504.8,10,1.00
2026-07-23T10:07:00,2026-07-23T10:33:00,NVDA,long,179.39,182.94,176.95,50,1.35
